region,channel,product_category,customer_segment,revenue_level,budget_level,reach_level,id,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue,year,month,day,hour
north,search,General,Standard,medium,medium,low,1,9.0,0.75,0.2782,32.0,817,0.001,3.34,0.9999999999999998,30.0,816.49,119.7678114888541,2011,12,5,11
north,social media,General,Premium,medium,low,low,2,3.35,3.35,0.0912,61.0,2289,0.064,4.44,0.3660254037844389,90.0,1723.16,119.40466140445554,2011,4,27,14
north,affiliate,General,Budget,medium,low,high,3,2.55,2.55,0.1997,461.0,14697,0.1508,3.31,0.3660254037844379,21.0,1151.74,132.0097467605988,2010,11,9,15
north,affiliate,Storage,Premium,medium,low,high,4,2.95,2.95,0.4767,744.0,17578,0.1965,2.87,-0.3660254037844385,90.0,3585.85,154.51175589761817,2010,10,3,15
north,search,Lighting,Premium,medium,medium,medium,5,15.0,1.25,0.3536,226.0,6280,0.02,7.4,-0.3660254037844385,90.0,502.28,128.05992410668216,2011,10,14,9
north,email,General,Premium,medium,high,high,6,79.19999999999999,1.65,0.0442,521.0,11484,0.021,3.83,-0.3660254037844385,30.0,32267.58,160.2164720315928,2011,10,28,7
north,affiliate,Stationery,Premium,high,medium,medium,7,10.08,0.42,0.0627,125.0,4495,0.1554,3.3,-1.0,30.0,20.16,181.46413709174084,2011,6,28,15
north,social media,Storage,Premium,medium,medium,medium,8,11.25,3.75,0.2257,217.0,3438,0.1389,7.0,0.3660254037844379,60.0,987.36,144.6521074962225,2011,11,6,12
north,search,Storage,Premium,low,medium,medium,9,17.0,8.5,0.23004464482458684,168.0,3767,0.0316,2.92,0.3660254037844389,7.0,1517.25,93.58093259513586,2010,4,28,10
north,affiliate,Kitchen,Premium,high,medium,medium,10,11.9,0.85,0.1296,266.0,8803,0.0701,0.97,0.9999999999999998,21.0,319.26,204.2856706834431,2009,12,20,15
north,social media,General,Premium,high,medium,medium,11,6.5,0.65,0.0796,269.0,3461,0.0475,2.42,0.3660254037844389,28.0,1781.44,240.78544744366616,2010,4,20,17
north,social media,General,Premium,high,low,medium,12,0.85,0.85,0.1494,243.0,5279,0.0573,2.79,0.3660254037844379,7.0,65709.14,189.7308652007753,2011,11,20,15
north,email,Storage,Premium,medium,medium,high,13,16.5,1.65,0.1641,845.0,10960,0.0353,6.13,1.0,14.0,48.95,140.9454149469077,2011,3,3,14
north,search,Storage,Premium,high,low,medium,14,0.85,0.85,0.1861,356.0,6950,0.2142,3.92,-0.3660254037844387,30.0,6987.43,243.79521875048573,2011,5,4,11
north,affiliate,General,Premium,high,high,medium,15,20.16,0.42,0.2243,136.0,2756,0.1218,5.79,0.9999999999999998,60.0,13951.97,230.585660072766,2010,12,10,11
north,email,Stationery,Standard,low,high,high,16,39.0,1.95,0.3123,658.0,11825,0.0145,2.89,-1.3660254037844386,35.565597137138354,97.4,87.7114925344795,2010,7,5,12
north,social media,General,Premium,medium,medium,medium,17,11.25,3.75,0.3241,289.0,6374,0.0449,5.21,1.3660254037844386,30.0,1387.83,114.02328662241972,2011,1,7,10
north,email,General,Premium,medium,low,medium,18,0.78,0.39,0.3485,89.0,3123,0.051,3.45,-1.3660254037844386,14.0,34671.78,159.94077931554634,2011,7,1,12
north,search,Storage,Premium,medium,medium,high,19,16.5,1.65,0.3056,845.0,13993,0.1262,3.41,-1.0,28.0,1603.37,157.0267964306109,2010,6,7,13
north,search,Seasonal,Standard,low,medium,medium,20,13.5,6.75,0.5874,227.0,8793,0.0605,6.01,-1.3660254037844386,90.0,838.8,40.58413723774876,2011,7,31,12
north,tv,Stationery,Premium,high,medium,medium,21,5.04,0.42,0.0396,148.0,3832,0.0262,2.0,0.3660254037844389,14.0,21407.11,190.59872472267563,2011,4,17,10
north,affiliate,General,Premium,medium,low,low,22,1.65,1.65,0.3856,200.0,1940,0.0362,4.56,0.3660254037844379,90.0,26272.27,123.63617514004176,2010,11,18,14
north,search,General,Premium,high,low,medium,23,1.05,0.21,0.1741,209.0,6704,0.0432,4.16,-0.3660254037844385,28.0,1247.47,330.92592477926786,2011,10,3,11
north,email,General,Premium,medium,medium,medium,24,17.4,1.45,0.2539,225.0,3475,0.0335,1.29,0.3660254037844389,30.0,9159.85,160.99962987722546,2011,4,19,10
north,search,Stationery,Premium,high,medium,high,25,19.5,1.95,0.1783,658.0,20771,0.0443,4.53,0.3660254037844379,90.0,8065.04,175.2754983154072,2010,11,15,12
north,search,Storage,Premium,high,low,high,26,0.55,0.55,0.3233,614.0,18253,0.0803,6.0,0.3660254037844379,14.0,2361.9500000000003,235.79753032386907,2010,11,15,13
north,email,Seasonal,Standard,medium,medium,medium,27,15.0,1.25,0.1452,158.0,6755,0.1115,4.81,0.3660254037844379,21.0,513.331,145.32551797067023,2011,11,7,8
north,search,General,Premium,low,high,low,28,79.19999999999999,1.65,0.2955,35.0,454,0.0569,4.53,-1.0,60.0,36223.41,82.8877710695046,2010,6,8,13
north,affiliate,Storage,Premium,medium,low,high,29,1.95,1.95,0.1311,450.0,12383,0.0435,5.49,0.9999999999999998,14.0,1899.54,117.09770057067462,2010,12,9,13
north,influencer,General,Premium,high,low,high,30,3.3,1.65,0.0985,405.0,19542,0.1563,4.22,-0.3660254037844385,14.0,334.39000000000004,174.1507484276767,2011,10,30,16
north,email,General,Premium,low,medium,medium,31,17.0,4.25,0.6,335.0,8065,0.1117,1.25,-1.3660254037844386,35.565597137138354,7998.73,90.8673287574744,2010,7,13,14
north,affiliate,General,Premium,low,medium,low,32,11.9,5.95,0.5303,66.0,1107,0.1014,5.34,-1.3660254037844386,7.0,127.35,16.882638061277465,2010,7,30,12
north,search,General,Premium,high,low,low,33,2.55,0.85,0.1297,99.0,2444,0.0926,4.49,1.3660254037844388,60.0,1358.52,166.30942057905685,2011,2,15,10
